signal_id,signal_date,signal_type,action,reason,daily_return,positive_run,negative_run,order_status,execution_date,execution_price,execution_size,execution_action,resulting_trade_entry_date,resulting_trade_exit_date,resulting_trade_pnl,resulting_trade_pnl_net,resulting_trade_return_pct,resulting_trade_feedback
1,1997-11-19,entry,buy,Buy because the long-term trend is up (Close=29.15 > SMA(100)=24.14) and there were 1 consecutive negative return days (threshold n=1).,-0.015867697751060894,0,1,completed,1997-11-20,29.149999618530273,3259.005188446374,BUY,1997-11-20,1998-02-11,-4494.167210026569,-4679.673042816542,-4.925979466343161,negative
2,1998-02-10,exit,sell,Sell because price stayed below SMA(100) for 4 consecutive days (threshold m=4).,-0.02472345789609165,0,2,completed,1998-02-11,27.770999908447262,-3259.005188446374,SELL,1997-11-20,1998-02-11,-4494.167210026569,-4679.673042816542,-4.925979466343161,negative
3,1998-02-24,entry,buy,Buy because the long-term trend is up (Close=32.26 > SMA(100)=31.10) and there were 1 consecutive negative return days (threshold n=1).,-0.02452524508633369,0,1,completed,1998-02-25,32.25699996948242,2807.2762716618267,BUY,1998-02-25,1998-08-11,13752.841571608731,13557.980108818474,14.97368201077269,positive
4,1998-08-10,exit,sell,Sell because price stayed below SMA(100) for 4 consecutive days (threshold m=4).,-0.05740887799955363,0,1,completed,1998-08-11,37.15599822998047,-2807.2762716618267,SELL,1998-02-25,1998-08-11,13752.841571608731,13557.980108818474,14.97368201077269,positive
5,1998-12-28,entry,buy,Buy because the long-term trend is up (Close=25.85 > SMA(100)=24.89) and there were 1 consecutive negative return days (threshold n=1).,-0.00885800294345196,0,1,completed,1998-12-29,25.847000122070312,4001.7948397957784,BUY,1998-12-29,2000-05-25,529641.5405373052,528905.0302133425,511.4450753538138,positive
6,2000-05-24,exit,sell,Sell because price stayed below SMA(100) for 4 consecutive days (threshold m=4).,0.015137375508723405,1,0,completed,2000-05-25,158.197998046875,-4001.7948397957784,SELL,1998-12-29,2000-05-25,529641.5405373052,528905.0302133425,511.4450753538138,positive
7,2000-10-17,entry,buy,Buy because the long-term trend is up (Close=137.65 > SMA(100)=134.92) and there were 1 consecutive negative return days (threshold n=1).,-0.0097908900616549,0,1,completed,2000-10-18,137.64500427246094,4401.8609583246625,BUY,2000-10-18,2000-11-23,-97281.15404580218,-98395.66123258712,-16.242920789331897,negative
8,2000-11-22,exit,sell,Sell because price stayed below SMA(100) for 4 consecutive days (threshold m=4).,0.021256839245810788,1,0,completed,2000-11-23,115.54499816894531,-4401.8609583246625,SELL,2000-10-18,2000-11-23,-97281.15404580218,-98395.66123258712,-16.242920789331897,negative
9,2001-04-25,entry,buy,Buy because the long-term trend is up (Close=101.13 > SMA(100)=94.49) and there were 1 consecutive negative return days (threshold n=1).,-0.0017865756058328408,0,1,completed,2001-04-26,101.12999725341797,5066.926788896961,BUY,2001-04-26,2001-07-12,-70075.56811068149,-71030.32912705965,-13.864322312266776,negative
10,2001-07-11,exit,sell,Sell because price stayed below SMA(100) for 4 consecutive days (threshold m=4).,-0.07809278913246143,0,4,completed,2001-07-12,87.30000305175781,-5066.926788896961,SELL,2001-04-26,2001-07-12,-70075.56811068149,-71030.32912705965,-13.864322312266776,negative
