strategy,entry_run,exit_run,final_value,total_return_pct,annual_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,closed_trades,win_rate_pct,buy_hold_return_pct,trend_period
Hybrid Trend-Filtered Mean Reversion,1,1,4177963.9276882852,373.24091222204646,14.000734240604723,23.492637073809146,0.042543309646371076,70.23699974107016,74,22.972972972972975,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,2,5102334.999340997,393.22833709542346,14.8034951226207,23.82228514711822,0.04401362668405114,65.25390944255133,58,24.137931034482758,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,3,4157145.976704915,372.74138685260147,13.980743715394983,24.128363841185323,0.04177045010963974,65.61889674456039,50,26.0,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,4,3895861.744914387,366.2499991726398,13.721283158108246,24.361615408082628,0.04092998190900058,69.76633525259847,45,31.11111111111111,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,5,5330742.999178244,397.60757209271856,14.980133204125568,24.607759022024577,0.04349447236065298,63.83274807204986,38,28.947368421052634,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,6,5175728.992354217,394.65652903122725,14.861071940040768,24.786710887899694,0.043031263566316695,64.36980889504851,35,34.285714285714285,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,7,5355158.104944998,398.0645321190871,14.998580509692639,24.979961715669777,0.043121413613346295,64.14885811143296,30,33.33333333333333,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,8,5802503.290519469,406.0874519246849,15.322945358742016,25.035662949790932,0.04376937192609455,64.46041708806264,30,33.33333333333333,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,9,5827588.429130786,406.5188359260707,15.34041201340578,25.1142537651979,0.0437199392190521,62.982227838512934,30,33.33333333333333,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,1,10,5613016.562693401,402.76733797235653,15.188603077177234,25.20311033289331,0.04329190070380492,62.60049568016789,29,34.48275862068966,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,2,1,3598424.5338431653,358.3081213180369,13.40464974869931,22.67945116262792,0.0420861736944091,72.05591248500585,48,37.5,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,2,2,3897892.2559033036,366.3021052831135,13.723363484440679,22.99626616083408,0.042470541426261305,69.65915991363016,44,31.818181818181817,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,2,3,3214017.5526630413,347.0106821608406,12.955752452230918,23.298743486882444,0.04027785168644869,69.58926874877112,39,28.205128205128204,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,2,4,2784605.1985866316,332.66911963914174,12.388457332382076,23.528114224718248,0.03868290293530278,73.73187600715649,37,35.13513513513514,68657.96570502703,200
Hybrid Trend-Filtered Mean Reversion,2,5,3841619.035796775,364.84789946407085,13.665318886814292,23.890669180361233,0.04130357984197863,69.12673461413654,31,35.483870967741936,68657.96570502703,200
