strategy,entry_run,exit_run,final_value,total_return_pct,annual_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,closed_trades,win_rate_pct,buy_hold_return_pct,trend_period
Hybrid Trend-Filtered Mean Reversion,1,1,7290319.662282071,428.91324874746635,16.250800192067867,22.06985241729474,0.04993803592137555,55.65097791330198,156,34.61538461538461,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,2,7491366.933693645,431.6336375032563,16.361879051764422,22.954886646962848,0.04882583770227106,55.95160707971988,127,34.645669291338585,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,3,9862600.18724198,459.1334937516671,17.49072937035007,23.60557230100575,0.050461396701267446,52.444462385945144,107,36.44859813084112,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,4,10933999.906760156,469.44622849393386,17.916877863365617,24.276577715375474,0.050422483231682365,57.872779723037496,99,39.39393939393939,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,5,10043975.469706662,460.9558092003114,17.5659199052241,24.737574809300202,0.049013046896894175,56.7046095290612,95,40.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,6,14490285.224139187,497.60635333385085,19.088415310933186,25.295906752192753,0.05148379686174899,47.861831062402906,84,44.047619047619044,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,7,18988288.16235059,524.6407469592325,20.22406874555632,25.8177377908923,0.05308276141701529,54.30460168534749,80,47.5,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,8,16270283.137028493,509.1925416472373,19.573805229930883,26.470304295658938,0.050909173105307716,62.35051755972203,73,49.31506849315068,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,9,18684804.682026934,523.0295702680547,20.156084409986626,26.869580555657986,0.05154080450493045,63.31896944609689,70,50.0,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,1,10,18633537.728207562,522.7548153740292,20.144494839386216,27.107895974587525,0.05121785242570295,65.73121423058599,68,51.470588235294116,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,1,1005796.7707586965,230.836512712491,8.44147091836419,19.814467844679786,0.03202002787251909,57.17514970389326,112,33.92857142857143,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,2,933559.5127722772,223.38345272618375,8.15809754051742,20.7882412286147,0.030331793702135363,64.24942706210673,101,32.67326732673268,68657.96570502703,50
Hybrid Trend-Filtered Mean Reversion,2,3,1921896.0360317205,295.58973105243695,10.934914948440468,21.828067447427333,0.03684224705846491,68.03588516948734,88,35.22727272727273,68657.96570502703,50
