entry_run,1,2,3,4,5,6,7,8,9,10
1,-125.75604802113234,172.01968936347723,454.26880912154803,512.9053358414611,532.6782312320784,561.1596897855218,581.482745657363,606.8825373441147,627.1983213481512,637.4019369615406
2,-153.82317517912844,-51.01453012729114,121.83782948891239,241.7719618574613,319.314240622577,365.8040808363216,475.5541532270788,547.2497333584192,562.345180550255,585.1748048039439
3,-45.38750649618009,99.48332178732238,199.68725459329735,221.365224256165,293.92262601458526,315.4808105799761,379.53689288384703,491.9508921258046,521.7196482342268,540.1076557426461
4,-7.530211454601747,130.48092959250607,151.22785650588563,139.97835527902413,324.83791634161884,340.11933425431613,416.32848814766373,529.5800560952242,543.4959006514736,557.5196223864143
5,-11.648018935143984,40.226215563612456,57.44195460999653,36.957795964075544,184.70290665759333,257.05135395516487,225.0113667202376,292.5101352056295,280.0900657283527,322.9950634049969
6,13.589868668027943,44.6009957404284,49.38713097087912,12.924967320112222,88.43571207784525,179.7658159655633,227.8341133906426,303.53301919163613,288.19837424168776,325.6753748410588
7,56.75898521636228,79.62333748838486,82.5607264740435,69.42117693686446,130.52121696202565,224.4449791351387,314.91309960935394,357.9936217387973,346.6992428710156,383.7788815972105
8,17.50457570514577,24.25338009178077,26.661010326832635,10.7699365631995,73.34506981189371,148.95307901108305,154.997042268942,182.21834492630015,165.79448268813292,260.1197170965738
9,3.77933592299486,0.2931323968508804,2.5169278995014173,-22.305478400976742,-2.5127436663919545,-1.4144838668071331,-3.5018396791974187,-2.077990445399808,1.0690508539723669,1.4737525049792282
10,1.0194121318007632,-2.643950859307701,-0.30639985145381715,-26.563515315450463,-5.597207476563936,-4.440741853337088,-6.639303201069071,-5.139332580416978,-1.828038846537023,-1.402606561990548
