entry_run,1,2,3,4,5,6,7,8,9,10
1,91.54909583635809,468.7482061226687,516.3732857681215,569.8309757961175,609.5916493204811,607.3446594296171,566.0705446618011,608.9092652000626,639.6534317169096,642.7058701965691
2,104.85146209854163,459.45860981249984,398.85573531273167,434.0877879759674,562.0500016450304,573.5087315889283,542.3423667208657,600.0629956262923,636.6962922770691,639.7485930846249
3,-27.40832145841682,361.15662115648234,330.83538694148393,423.63371498201,546.5125727386287,569.6307872276972,541.2189467976436,628.1866442957187,636.3061684969795,639.3584481255729
4,5.8108743426254446,297.1341481743669,339.2062245451047,448.3854960347554,570.1962797073165,605.8001001395165,552.2132722593647,637.9546264600114,660.6796847391929,663.7318408284629
5,38.67626320725471,253.33932934344304,288.7157785527029,266.62795110891676,419.83939882231215,526.1588226281872,486.85075297093914,569.6723252755685,636.0049612927035,639.0568244576143
6,32.207799601991205,226.48830247662156,282.0050674539025,265.9131482422983,343.82560587077586,426.5562984629131,383.0687994254711,479.815775551757,626.0479818711622,629.0991429524423
7,24.378315100131058,127.0493339576914,225.77837081048906,193.07423547443602,376.3632311867718,377.19160350109826,290.9674199526111,457.2308577634715,627.4923456113108,630.5434220410888
8,6.652492049410391,62.15275547156378,118.95521305721984,84.77762436439575,309.2239810308897,302.1871659317003,248.75624517892052,429.23855282633167,624.9054701856494,627.9564267003387
9,-10.73661382271725,50.06970950556311,91.14103367859899,72.66113855933396,321.7025318798703,316.61726543044995,259.43167133041527,443.8286340058636,619.8215162394836,622.8724233803489
10,-15.92134047985381,31.186785475210186,76.77295164151734,62.89109343297261,279.00495910461814,279.2899276833934,223.38003970216204,349.20617014283636,617.2778641520856,620.328577338579
