signal_id,signal_date,signal_type,action,reason,daily_return,positive_run,negative_run,order_status,execution_date,execution_price,execution_size,execution_action,resulting_trade_entry_date,resulting_trade_exit_date,resulting_trade_pnl,resulting_trade_pnl_net,resulting_trade_return_pct,resulting_trade_feedback
1,2024-01-19,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.0024201172774055424,0,4,completed,2024-01-22,7996.100097656251,11.879900168782997,BUY,2024-01-22,2024-01-23,1248.5786678855832,1057.3443474181931,1.2021136832670272,positive
2,2024-01-22,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.0016756789696334984,1,0,completed,2024-01-23,8101.200195312499,-11.879900168782997,SELL,2024-01-22,2024-01-23,1248.5786678855832,1057.3443474181931,1.2021136832670272,positive
3,2024-03-06,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.01308057001580043,0,4,completed,2024-03-07,8797.5,10.978716169820038,BUY,2024-03-07,2024-03-08,3147.600070167907,2951.281959089755,3.354682533776363,positive
4,2024-03-07,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.035404775492016816,1,0,completed,2024-03-08,9084.2001953125,-10.978716169820038,SELL,2024-03-07,2024-03-08,3147.600070167907,2951.281959089755,3.354682533776363,positive
5,2024-03-14,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.0029965875880708648,0,4,completed,2024-03-15,8901.900390625,11.122665052195932,BUY,2024-03-15,2024-03-20,340.34920580615955,141.98314385448538,0.14499778660542512,positive
6,2024-03-19,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.02429437500602094,1,0,completed,2024-03-20,8932.5,-11.122665052195932,SELL,2024-03-15,2024-03-20,340.34920580615955,141.98314385448538,0.14499778660542512,positive
7,2024-03-27,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-7.950079267948773e-05,0,4,completed,2024-03-28,8863.7001953125,11.234977549310498,BUY,2024-03-28,2024-03-29,2939.065738236521,2736.9597271019747,2.8071179661200376,positive
8,2024-03-28,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.031033167772983594,1,0,completed,2024-03-29,9125.2998046875,-11.234977549310498,SELL,2024-03-28,2024-03-29,2939.065738236521,2736.9597271019747,2.8071179661200376,positive
9,2024-04-18,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.0006191060935942794,0,4,completed,2024-04-19,9431.2001953125,10.66115058722709,BUY,2024-04-19,2024-04-22,3875.328238457047,3670.358019217566,3.8917189150982177,positive
10,2024-04-19,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.017733069898156373,1,0,completed,2024-04-22,9794.7001953125,-10.66115058722709,SELL,2024-04-19,2024-04-22,3875.328238457047,3670.358019217566,3.8917189150982177,positive
