entry_date,exit_date,bars_held,pnl,pnl_net,return_pct,entry_signal_id,exit_signal_id
2024-01-22,2024-01-23,1,1248.5786678855832,1057.3443474181931,1.2021136832670272,1,2
2024-03-07,2024-03-08,1,3147.600070167907,2951.281959089755,3.354682533776363,3,4
2024-03-15,2024-03-20,3,340.34920580615955,141.98314385448538,0.14499778660542512,5,6
2024-03-28,2024-03-29,1,2939.065738236521,2736.9597271019747,2.8071179661200376,7,8
2024-04-19,2024-04-22,1,3875.328238457047,3670.358019217566,3.8917189150982177,9,10
2024-06-10,2024-06-12,2,-720.9933610097943,-930.1956984464239,-0.9180408023621798,11,12
2024-09-09,2024-09-13,4,-2749.8932017693855,-2955.947606451802,-3.017751089831092,13,14
2024-10-01,2024-10-07,4,-5428.717590048169,-5626.1288113035625,-5.815962039457472,15,16
2024-12-24,2024-12-26,1,3256.7468448441045,3061.3178645146345,3.5299911331737257,17,18
2025-03-24,2025-03-25,1,3233.4465741582585,3029.7330114720107,3.3050431018566715,19,20
2025-05-02,2025-05-05,1,1085.2431240034152,879.6429530654434,0.8767409405522156,21,22
2025-05-29,2025-06-04,4,400.27631172714695,193.31443782346537,0.1902528843214995,23,24
2025-09-04,2025-09-05,1,1114.3787320588451,907.179661835342,0.9365121931616137,25,26
2025-10-14,2025-10-16,2,-1275.6109447514186,-1481.8831935957505,-1.5580843999562064,27,28
