signal_id,signal_date,signal_type,action,reason,daily_return,positive_run,negative_run,order_status,execution_date,execution_price,execution_size,execution_action,resulting_trade_entry_date,resulting_trade_exit_date,resulting_trade_pnl,resulting_trade_pnl_net,resulting_trade_return_pct,resulting_trade_feedback
1,2024-01-08,entry,buy,Buy because there were 3 consecutive positive return days (threshold n=3).,0.02493212502283404,3,0,completed,2024-01-09,7860.200195312499,12.150046833509574,BUY,2024-01-09,2024-01-18,2962.179044953623,2768.2132649210535,2.9348417726178506,positive
2,2024-01-17,exit,sell,Sell because there were 2 consecutive negative return days (threshold m=2).,-0.0009711278079574948,0,2,completed,2024-01-18,8104.0,-12.150046833509574,SELL,2024-01-09,2024-01-18,2962.179044953623,2768.2132649210535,2.9348417726178506,positive
3,2024-01-26,entry,buy,Buy because there were 3 consecutive positive return days (threshold n=3).,0.021591439852665095,3,0,completed,2024-01-29,8400.099609375,11.697375470126717,BUY,2024-01-29,2024-02-28,9176.59105631441,8970.896227023448,9.708647022808034,positive
4,2024-02-27,exit,sell,Sell because there were 2 consecutive negative return days (threshold m=2).,-0.016562884032191305,0,2,completed,2024-02-28,9184.599609375,-11.697375470126717,SELL,2024-01-29,2024-02-28,9176.59105631441,8970.896227023448,9.708647022808034,positive
5,2024-03-21,entry,buy,Buy because there were 3 consecutive positive return days (threshold n=3).,0.02072568637239902,3,0,completed,2024-03-22,9162.400390625,11.613131570794087,BUY,2024-03-22,2024-03-26,-1543.389722138054,-1754.6546548971623,-1.7409636420093693,negative
6,2024-03-25,exit,sell,Sell because there were 2 consecutive negative return days (threshold m=2).,-0.009010548139713581,0,2,completed,2024-03-26,9029.5,-11.613131570794087,SELL,2024-03-22,2024-03-26,-1543.389722138054,-1754.6546548971623,-1.7409636420093693,negative
7,2024-04-01,entry,buy,Buy because there were 3 consecutive positive return days (threshold n=3).,0.0016516022849408785,3,0,completed,2024-04-02,9186.0,11.409798754594043,BUY,2024-04-02,2024-04-04,-2702.9857819159674,-2909.9036188534533,-2.8797811084589724,negative
8,2024-04-03,exit,sell,Sell because there were 2 consecutive negative return days (threshold m=2).,-0.010518928627519797,0,2,completed,2024-04-04,8949.099609375,-11.409798754594043,SELL,2024-04-02,2024-04-04,-2702.9857819159674,-2909.9036188534533,-2.8797811084589724,negative
9,2024-04-08,entry,buy,Buy because there were 3 consecutive positive return days (threshold n=3).,0.01433654857415756,3,0,completed,2024-04-09,9807.7001953125,10.425740426681845,BUY,2024-04-09,2024-04-17,-1986.1035512828914,-2188.6225205696983,-2.23153489297698,negative
10,2024-04-16,exit,sell,Sell because there were 2 consecutive negative return days (threshold m=2).,-0.013605673461213885,0,2,completed,2024-04-17,9617.2001953125,-10.425740426681845,SELL,2024-04-09,2024-04-17,-1986.1035512828914,-2188.6225205696983,-2.23153489297698,negative
